id;age;gender;marital_status;region;education;occupation;account;subscription_period;weekly_usage_time;subscription_type;watch_with;major_platform;other_major_platform;platforms;user_friendliness;satisfaction;price_quality;future_user;preference;genre_1;genre_2;genre_3;n_episodes;additional_accounts;time_preference;suggestion;reason_no_netflix;other_platform
38;40;male;cohabiting;Basilicata;upper secondary school diploma;employed;no;;;;;;;;;;;yes;movies;action;thriller;comedy;one-2 episodes;yes;;;other platforms;others
39;41;female;married;Campania;master's degree;employed;si;13 to 24 months;3;premium;family;no;;;very much;very much;enough;;other;romantic;comedy;action;one-2 episodes;yes;late afternoon;nothing;;
40;57;female;married;Campania;upper secondary school diploma;employed;si;over 24 months ;3;premium;family;no;prime video ;prime video;very;enough;enough;;movies;action;comedy;drama;3-4 episodes;no;late evening;personalization;;
41;47;male;separated;Campania;upper secondary school diploma;employed;si;over 24 months ;2;premium;;no;dazn;dazn;very much;very;very much;;tv series;action;comedy;drama;one-2 episodes;yes;late evening;nothing;;apple tv
42;14;male;cohabiting;Campania;lower secondary school diploma;student;si;over 24 months ;1;standard;family;si;;netflix;very much;very;enough;;movies;thriller;action;fantasy;one-2 episodes;yes;early evening;personalization;;
43;40;male;married;Campania;second-level master's degree;employed;si;over 24 months ;7;standard;partner;no;dazn;dazn;very;very;very;;movies;comedy;fantasy;action;one-2 episodes;yes;late evening;personalization;;
44;68;male;married;Campania;second-level master's degree;retired;no;;;;;;;;;;;no;documentaries;drama;action;comedy;single episode;yes;;;no need;others
45;60;female;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;no;other;thriller;fantasy;romantic;7 or more;no;;;no need;
46;55;male;married;Campania;upper secondary school diploma;employed;si;over 24 months ;2;standard;partner;si;;netflix;very much;very;enough;;movies;action;thriller;fantasy;one-2 episodes;yes;late evening;streaming quality;;
47;39;female;married;Campania;bachelor's degree;employed;si;13 to 24 months;1;premium;partner;no;dazn;dazn;very;enough;enough;;tv series;action;comedy;drama;one-2 episodes;yes;early evening;contents;;
48;42;female;single;Campania;first-level master's degree;employed;no;;;;;;;;;;;don't know;movies;drama;comedy;action;one-2 episodes;yes;;;other platforms;prime video
49;50;male;married;Campania;bachelor's degree;employed;no;;;;;;;;;;;no;movies;comedy;action;fantasy;single episode;no;;;no need;
50;30;male;single;Puglia;second-level master's degree;employed;si;over 24 months ;1;premium;partner;no;dazn;dazn;very much;very much;very much;;tv series;comedy;romantic;action;one-2 episodes;yes;late evening;nothing;;
51;24;female;single;Puglia;master's degree;employed;si;over 24 months ;3;premium;family;si;;netflix;very much;very much;very much;;movies;romantic;action;fantasy;one-2 episodes;yes;late evening;personalization;;disney plus
52;23;female;single;Marche;bachelor's degree;job seeker;si;13 to 24 months;5;premium;friends;si;;netflix;very much;enough;enough;;tv series;romantic;horror;thriller;one-2 episodes;no;late evening;contents;;
53;64;male;married;Campania;upper secondary school diploma;retired;si;over 24 months ;3;basic with ads;family;si;;netflix;very much;very much;very;;movies;action;thriller;comedy;3-4 episodes;yes;late evening;nothing;;
54;54;male;married;Lombardia;first-level master's degree;employed;si;over 24 months ;4;standard;family;no;prime video ;prime video;very much;very;very much;;tv series;action;thriller;comedy;one-2 episodes;yes;early evening;personalization;;prime video
55;53;male;married;Campania;upper secondary school diploma;employed;si;over 24 months ;4;standard;family;si;;netflix;very much;very much;enough;;documentaries;drama;comedy;action;one-2 episodes;yes;late evening;contents;;apple tv
56;58;female;separated;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;documentaries;action;comedy;drama;3-4 episodes;no;;;no need;
57;25;female;cohabiting;Piemonte;master's degree;student;si;over 24 months ;4;standard;;si;;netflix;very much;very much;very much;;tv series;comedy;drama;romantic;one-2 episodes;yes;late evening;contents;;
58;24;female;single;Lazio;master's degree;employed;si;over 24 months ;5;premium;;si;;netflix;very much;very;a little;;tv series;comedy;fantasy;romantic;3-4 episodes;yes;early afternoon;contents;;
59;23;male;single;Campania;upper secondary school diploma;student;si;0 to 6 months;2;premium;;no;dazn;dazn;very much;very;a little;;movies;romantic;action;comedy;one-2 episodes;yes;late evening;more contents;;
60;61;male;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;movies;action;fantasy;thriller;single episode;no;;;no need;
61;24;male;single;Lazio;bachelor's degree;student;si;over 24 months ;4;standard;;si;;netflix;very;very;enough;;tv series;romantic;drama;comedy;one-2 episodes;yes;early afternoon;contents;;prime video
62;29;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;2;standard;family;si;;netflix;very much;very;enough;;tv series;drama;romantic;comedy;3-4 episodes;yes;late evening;personalization;;
63;28;female;single;Calabaria;master's degree;employed;si;13 to 24 months;6;basic;;si;;netflix;very much;a little;a little;;tv series;thriller;romantic;comedy;one-2 episodes;yes;late evening;contents;;prime video
64;52;female;married;Campania;upper secondary school diploma;employed;si;over 24 months ;2;basic with ads;family;si;;netflix;very;very;very;;movies;romantic;comedy;action;one-2 episodes;no;early evening;loading speed;;
65;21;female;single;Piemonte;upper secondary school diploma;student;si;over 24 months ;4;standard;;no;disney plus;disney plus;very much;very;enough;;tv series;comedy;romantic;thriller;3-4 episodes;yes;early afternoon;personalization;;
66;21;female;single;Piemonte;upper secondary school diploma;student;si;over 24 months ;0;basic;partner;no;disney plus;disney plus;very much;enough;very;;tv series;comedy;romantic;action;3-4 episodes;yes;early afternoon;contents;;
67;47;male;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;no;tv series;action;thriller;comedy;one-2 episodes;no;;;no need;
68;61;female;separated;Campania;lower secondary school diploma;employed;si;0 to 6 months;2;premium;family;si;;netflix;very much;very much;very much;;movies;action;comedy;drama;one-2 episodes;no;late evening;contents;;
69;22;male;single;Piemonte;upper secondary school diploma;student;si;over 24 months ;1;standard;;no;disney plus;disney plus;very much;a little;a little;;tv series;comedy;action;fantasy;3-4 episodes;yes;early evening;contents;;
