id;age;gender;marital_status;region;education;occupation;account;subscription_period;weekly_usage_time;subscription_type;watch_with;major_platform;other_major_platform;platforms;user_friendliness;satisfaction;price_quality;future_user;preference;genre_1;genre_2;genre_3;n_episodes;additional_accounts;time_preference;suggestion;reason_no_netflix;other_platform
164;56;female;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;no;tv series;action;thriller;romantic;single episode;no;;;lack of interest;
165;55;female;married;Calabaria;upper secondary school diploma;employed;no;;;;;;;;;;;no;movies;comedy;action;drama;single episode;no;;;no need;
166;54;female;married;Campania;master's degree;employed;si;over 24 months ;7;premium;family;si;;netflix;very much;very much;very;;tv series;action;comedy;romantic;3-4 episodes;yes;late evening;personalization;;disney plus
167;52;male;separated;Puglia;master's degree;employed;si;7 to 12 months ;5;premium;partner;si;;netflix;very;very;very much;;tv series;fantasy;horror;comedy;one-2 episodes;yes;late evening;streaming quality;;paramount
168;59;female;single;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;documentaries;drama;thriller;romantic;single episode;no;;;no need;
169;66;female;married;Emilia-Romagna;master's degree;employed;si;over 24 months ;4;standard;partner;si;;netflix;very;very;very;;movies;comedy;action;drama;3-4 episodes;yes;late afternoon;contents;;
170;16;male;single;Campania;lower secondary school diploma;student;no;;;;;;;;;;;yes;movies;action;fantasy;thriller;7 or more;no;;;no need;
171;53;female;married;Campania;master's degree;employed;no;;;;;;;;;;;no;tv series;action;comedy;drama;3-4 episodes;no;;;others' account;
172;45;female;separated;Campania;upper secondary school diploma;unemployed;si;13 to 24 months;7;premium;family;si;;netflix;very much;very much;very much;;tv series;action;romantic;comedy;one-2 episodes;no;early evening;nothing;;
173;45;female;married;Campania;second-level master's degree;employed;no;;;;;;;;;;;don't know;movies;comedy;fantasy;action;single episode;no;;;lack of time;
174;38;female;married;Puglia;second-level master's degree;employed;no;;;;;;;;;;;no;tv series;action;comedy;drama;one-2 episodes;yes;;;other platforms;
175;55;female;married;Campania;master's degree;employed;no;;;;;;;;;;;don't know;movies;fantasy;action;thriller;one-2 episodes;no;;;others' account;
176;45;male;married;Puglia;upper secondary school diploma;employed;si;over 24 months ;7;standard;family;no;dazn;dazn;very;enough;enough;;tv series;action;drama;comedy;single episode;yes;late evening;loading speed;;
177;46;female;married;Campania;lower secondary school diploma;homemaker;no;;;;;;;;;;;don't know;movies;romantic;comedy;action;one-2 episodes;no;;;no need;
178;50;male;single;Puglia;master's degree;employed;si;0 to 6 months;7;standard;;si;;netflix;very much;very much;enough;;tv series;thriller;drama;action;one-2 episodes;yes;early afternoon;contents;;
179;62;female;separated;Campania;upper secondary school diploma;retired;si;13 to 24 months;2;premium;partner;no;;;very;very;very;;movies;comedy;thriller;romantic;5-6 episodes;yes;late evening;contents;;others
180;60;male;married;Puglia;upper secondary school diploma;employed;si;13 to 24 months;7;premium;;si;;netflix;very much;very much;very much;;tv series;action;fantasy;comedy;one-2 episodes;no;late evening;contents;;
181;45;female;married;Puglia;upper secondary school diploma;employed;si;over 24 months ;2;basic;;si;;netflix;very much;very much;very;;tv series;romantic;thriller;action;one-2 episodes;no;late evening;loading speed;;
182;50;female;married;Campania;master's degree;employed;no;;;;;;;;;;;don't know;movies;drama;comedy;action;single episode;no;;;no need;
183;52;female;married;Puglia;upper secondary school diploma;employed;si;0 to 6 months;4;premium;partner;si;;netflix;very much;very;very;;tv series;horror;thriller;comedy;one-2 episodes;yes;late evening;contents;;prime video
184;61;male;widowed;Campania;master's degree;employed;no;;;;;;;;;;;no;documentaries;comedy;action;drama;single episode;yes;;;lack of interest;prime video
185;63;male;married;Puglia;upper secondary school diploma;retired;si;over 24 months ;7;premium;family;si;;netflix;very much;very;very;;movies;thriller;comedy;romantic;single episode;yes;late evening;nothing;;
186;33;female;cohabiting;Puglia;upper secondary school diploma;unemployed;si;0 to 6 months;2;basic with ads;family;si;;netflix;very much;very much;very much;;movies;comedy;horror;other;5-6 episodes;no;late evening;nothing;;
187;51;male;married;Puglia;second-level master's degree;employed;si;13 to 24 months;7;basic;family;si;;netflix;very;very;a little;;tv series;action;thriller;comedy;one-2 episodes;yes;early evening;loading speed;;
188;45;male;married;Puglia;master's degree;employed;no;;;;;;;;;;;yes;tv series;action;thriller;comedy;one-2 episodes;yes;;;no need;
189;36;male;married;Campania;bachelor's degree;employed;no;;;;;;;;;;;no;sport;comedy;action;drama;one-2 episodes;no;;;other platforms;
190;24;female;single;Campania;bachelor's degree;student;si;over 24 months ;5;standard;;si;;netflix;very much;very;very much;;tv series;action;fantasy;thriller;3-4 episodes;yes;late evening;contents;;
191;55;female;married;Emilia-Romagna;master's degree;employed;si;over 24 months ;2;premium;family;si;;netflix;very;enough;enough;;tv series;action;comedy;fantasy;one-2 episodes;yes;late evening;contents;;
192;46;female;married;Campania;lower secondary school diploma;homemaker;no;;;;;;;;;;;don't know;movies;romantic;fantasy;comedy;single episode;no;;;no need;
193;20;female;single;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;no;tv series;comedy;romantic;drama;one-2 episodes;no;;;no need;
194;29;female;single;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;movies;comedy;romantic;fantasy;one-2 episodes;no;;;no need;
195;19;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;7;basic;;si;;netflix;very much;enough;enough;;tv series;thriller;romantic;horror;one-2 episodes;yes;early afternoon;contents;;prime video
196;25;female;single;Piemonte;upper secondary school diploma;employed;si;over 24 months ;4;premium;partner;si;;netflix;very;very;enough;;tv series;action;comedy;drama;3-4 episodes;yes;late afternoon;contents;;
197;28;male;single;Campania;master's degree;employed;si;over 24 months ;2;standard;;no;dazn;dazn;enough;very;very;;tv series;action;comedy;drama;one-2 episodes;no;early evening;contents;;
198;24;female;single;Campania;upper secondary school diploma;employed;si;over 24 months ;2;standard;;si;;netflix;very;very;very;;movies;romantic;comedy;action;3-4 episodes;yes;late evening;nothing;;prime video
199;24;female;single;Campania;bachelor's degree;student;si;over 24 months ;3;standard;;si;;netflix;very much;very much;very;;tv series;comedy;action;drama;5-6 episodes;no;late evening;nothing;;
200;50;female;separated;Campania;master's degree;employed;si;13 to 24 months;7;basic;;si;;netflix;very much;very much;very much;;tv series;action;comedy;drama;one-2 episodes;no;early evening;nothing;;
201;42;female;married;Campania;lower secondary school diploma;homemaker;si;over 24 months ;6;standard;family;si;;netflix;very much;very much;very;;tv series;romantic;comedy;action;one-2 episodes;yes;early afternoon;nothing;;others
202;20;male;single;Campania;upper secondary school diploma;student;no;;;;;;;;;;;no;movies;fantasy;horror;romantic;single episode;yes;;;other platforms;apple tv
203;20;female;single;Campania;upper secondary school diploma;student;si;7 to 12 months ;1;standard;family;si;;netflix;very;very;very;;tv series;drama;action;comedy;3-4 episodes;no;early afternoon;contents;;
204;70;male;married;Campania;master's degree;employed;no;;;;;;;;;;;no;movies;comedy;drama;action;single episode;no;;;no need;
205;43;female;married;Campania;master's degree;employed;si;13 to 24 months;3;premium;;no;prime video ;prime video;very;very;very;;tv series;drama;action;comedy;one-2 episodes;yes;late evening;personalization;;prime video
206;61;male;married;Puglia;master's degree;employed;no;;;;;;;;;;;no;sport;comedy;action;drama;single episode;no;;;no need;
207;29;female;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;don't know;tv series;action;comedy;drama;3-4 episodes;no;;;no need;
208;24;male;single;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;yes;movies;fantasy;comedy;action;one-2 episodes;no;;;price;
209;28;female;single;Lombardia;upper secondary school diploma;employed;si;over 24 months ;2;premium;;si;;netflix;very much;enough;very;;tv series;comedy;action;drama;one-2 episodes;no;late evening;personalization;;
210;22;male;single;Campania;upper secondary school diploma;student;si;13 to 24 months;3;standard;;si;;netflix;very much;enough;enough;;movies;thriller;drama;action;3-4 episodes;yes;late afternoon;contents;;prime video
211;61;male;married;Puglia;upper secondary school diploma;employed;si;13 to 24 months;4;standard;family;si;;netflix;very;very;very;;movies;action;comedy;thriller;single episode;no;early evening;nothing;;
212;21;male;single;Campania;bachelor's degree;student;no;;;;;;;;;;;no;movies;action;fantasy;romantic;one-2 episodes;no;;;no need;
213;19;male;single;Campania;upper secondary school diploma;student;si;over 24 months ;2;premium;;si;;netflix;very;enough;a little;;tv series;fantasy;drama;comedy;one-2 episodes;no;early evening;contents;;
214;34;female;married;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;yes;movies;comedy;action;drama;one-2 episodes;no;;;no need;
215;26;male;single;Campania;master's degree;employed;si;over 24 months ;2;standard;;si;;netflix;very;enough;a little;;movies;fantasy;drama;comedy;3-4 episodes;yes;late evening;contents;;
216;26;male;cohabiting;Piemonte;upper secondary school diploma;employed;si;13 to 24 months;3;premium;partner;no;dazn;dazn;enough;very;a little;;tv series;comedy;action;horror;one-2 episodes;yes;late afternoon;navigation;;
217;65;male;married;Puglia;master's degree;employed;no;;;;;;;;;;;no;documentaries;comedy;action;romantic;single episode;no;;;lack of interest;
218;52;male;single;Campania;master's degree;employed;no;;;;;;;;;;;no;movies;comedy;drama;fantasy;single episode;yes;;;other platforms;prime video
219;24;female;single;Campania;bachelor's degree;student;si;over 24 months ;2;standard;family;si;;netflix;very much;enough;a little;;tv series;comedy;action;romantic;one-2 episodes;yes;late evening;contents;;prime video
220;19;female;single;Campania;upper secondary school diploma;student;si;0 to 6 months;7;premium;family;si;;netflix;very much;very much;very;;tv series;comedy;romantic;horror;7 or more;no;early afternoon;personalization;;
221;21;female;single;Campania;upper secondary school diploma;student;no;;;;;;;;;;;no;movies;drama;thriller;horror;3-4 episodes;yes;;;other platforms;
222;23;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;7;premium;family;si;;netflix;very much;very much;very much;;tv series;romantic;comedy;drama;one-2 episodes;yes;early afternoon;personalization;;
223;21;female;single;Campania;upper secondary school diploma;student;si;13 to 24 months;3;basic;;si;;netflix;very;very;enough;;tv series;comedy;romantic;action;3-4 episodes;no;early afternoon;contents;;
224;23;male;single;Campania;upper secondary school diploma;job seeker;no;;;;;;;;;;;yes;movies;comedy;action;drama;one-2 episodes;no;;;no need;
225;18;female;single;Campania;bachelor's degree;student;si;over 24 months ;3;standard;;si;;netflix;very much;enough;enough;;tv series;drama;thriller;romantic;one-2 episodes;yes;late morning;contents;;
226;69;male;married;Campania;lower secondary school diploma;employed;no;;;;;;;;;;;don't know;other;action;drama;comedy;single episode;no;;;no need;
227;22;female;single;Lazio;upper secondary school diploma;student;si;over 24 months ;2;premium;;si;;netflix;very much;very;enough;;other;thriller;drama;comedy;3-4 episodes;yes;late evening;other;;prime video
228;22;male;single;Campania;upper secondary school diploma;student;si;over 24 months ;1;premium;;si;;netflix;very much;very;enough;;movies;action;horror;fantasy;3-4 episodes;no;late evening;nothing;;
229;30;male;single;Campania;master's degree;employed;si;over 24 months ;1;premium;;si;;netflix;very much;very;very;;tv series;comedy;drama;action;one-2 episodes;yes;late evening;contents;;
230;20;female;single;Toscana;upper secondary school diploma;student;si;over 24 months ;7;standard;;si;;netflix;very;enough;a little;;tv series;drama;comedy;romantic;5-6 episodes;yes;early evening;contents;;disney plus
231;20;female;single;Lazio;upper secondary school diploma;student;si;over 24 months ;4;premium;;si;;netflix;very much;very;enough;;tv series;comedy;fantasy;action;3-4 episodes;yes;early evening;nothing;;
232;21;female;single;Lazio;bachelor's degree;student;si;over 24 months ;4;premium;;si;;netflix;very;very;very;;movies;comedy;action;fantasy;3-4 episodes;yes;late evening;contents;;
233;55;female;married;Campania;first-level master's degree;employed;si;over 24 months ;7;standard;family;si;;netflix;a little;a little;a little;;tv series;romantic;comedy;other;one-2 episodes;no;early evening;contents;;
234;24;male;single;Campania;upper secondary school diploma;student;si;over 24 months ;7;standard;;si;;netflix;very much;very much;very much;;tv series;drama;comedy;action;3-4 episodes;yes;late evening;contents;;prime video
235;24;male;single;Campania;upper secondary school diploma;employed;si;over 24 months ;2;premium;partner;si;;netflix;very;very;very;;tv series;comedy;action;drama;3-4 episodes;yes;late evening;nothing;;
236;19;female;single;Campania;upper secondary school diploma;student;no;;;;;;;;;;;don't know;tv series;action;fantasy;thriller;5-6 episodes;yes;;;no need;prime video
237;24;female;single;Campania;bachelor's degree;employed;si;over 24 months ;1;premium;family;si;;netflix;very much;very;enough;;tv series;romantic;fantasy;drama;single episode;yes;late evening;nothing;;
238;19;female;single;Lazio;upper secondary school diploma;student;si;over 24 months ;5;standard;;si;;netflix;very much;very;very much;;movies;comedy;action;thriller;5-6 episodes;yes;early afternoon;contents;;
239;21;female;single;Campania;upper secondary school diploma;student;si;13 to 24 months;0;basic;;no;prime video ;prime video;very much;very;very much;;movies;romantic;comedy;action;5-6 episodes;no;late evening;nothing;;
240;24;female;single;Campania;master's degree;employed;no;;;;;;;;;;;don't know;tv series;action;romantic;comedy;one-2 episodes;yes;;;no need;prime video
241;22;male;single;Campania;bachelor's degree;job seeker;si;over 24 months ;2;premium;;si;;netflix;very much;very;very;;movies;drama;thriller;other;one-2 episodes;no;late evening;contents;;
242;36;female;married;Puglia;lower secondary school diploma;unemployed;no;;;;;;;;;;;yes;other;comedy;romantic;other;7 or more;yes;;;lack of time;8.0
243;25;female;single;Campania;bachelor's degree;student;si;over 24 months ;7;premium;;si;;netflix;very much;very;enough;;tv series;drama;action;thriller;3-4 episodes;yes;late afternoon;contents;;prime video
244;48;male;married;Puglia;upper secondary school diploma;employed;si;over 24 months ;5;premium;family;si;;netflix;very;enough;enough;;movies;action;thriller;comedy;3-4 episodes;yes;early evening;contents;;prime video
245;23;female;single;Friuli-Venezia Giulia;bachelor's degree;student;si;over 24 months ;3;premium;;si;;netflix;very much;very much;very;;tv series;comedy;drama;romantic;one-2 episodes;yes;late afternoon;nothing;;prime video
246;22;male;single;Campania;upper secondary school diploma;student;no;;;;;;;;;;;no;movies;drama;romantic;comedy;one-2 episodes;no;;;no need;
247;21;male;single;Campania;upper secondary school diploma;student;si;13 to 24 months;1;basic;;no;prime video ;prime video;very much;enough;enough;;movies;action;other;comedy;one-2 episodes;yes;late evening;nothing;;prime video
248;58;male;married;Campania;master's degree;employed;si;over 24 months ;4;basic with ads;family;si;;netflix;enough;enough;enough;;movies;action;comedy;drama;one-2 episodes;yes;late evening;contents;;
249;23;female;single;Campania;upper secondary school diploma;student;si;13 to 24 months;3;basic;family;si;;netflix;very;very much;enough;;movies;comedy;drama;action;3-4 episodes;no;late afternoon;nothing;;
250;19;female;single;Campania;upper secondary school diploma;student;si;0 to 6 months;6;premium;;si;;netflix;very much;very;very;;tv series;action;fantasy;thriller;3-4 episodes;no;early afternoon;personalization;;
251;21;female;cohabiting;Campania;upper secondary school diploma;student;no;;;;;;;;;;;don't know;tv series;thriller;action;fantasy;3-4 episodes;no;;;other platforms;
252;22;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;3;premium;;si;;netflix;very much;very much;very much;;tv series;action;comedy;fantasy;one-2 episodes;yes;late evening;nothing;;apple tv
253;26;female;single;Campania;bachelor's degree;employed;si;13 to 24 months;4;premium;family;si;;netflix;very;very;very;;tv series;comedy;fantasy;drama;5-6 episodes;no;late afternoon;streaming quality;;
254;29;female;single;Campania;first-level master's degree;job seeker;si;over 24 months ;4;standard;;si;;netflix;very;enough;a little;;tv series;drama;romantic;thriller;3-4 episodes;no;early evening;navigation;;
255;23;female;single;Campania;upper secondary school diploma;student;si;7 to 12 months ;4;premium;;si;;netflix;very much;enough;very;;tv series;comedy;fantasy;other;7 or more;yes;early evening;contents;;
256;60;male;married;Campania;bachelor's degree;employed;si;over 24 months ;7;standard;family;si;;netflix;very much;very much;very;;tv series;action;comedy;drama;one-2 episodes;yes;late evening;navigation;;
257;20;female;single;Emilia-Romagna;upper secondary school diploma;student;si;over 24 months ;1;standard;;no;prime video ;prime video;very much;a little;a little;;tv series;drama;comedy;romantic;one-2 episodes;yes;late evening;contents;;prime video
258;23;male;single;Campania;upper secondary school diploma;student;si;over 24 months ;4;premium;partner;si;;netflix;very much;very much;very much;;movies;action;fantasy;comedy;one-2 episodes;yes;late evening;personalization;;
259;22;male;single;Campania;upper secondary school diploma;job seeker;si;over 24 months ;4;premium;;si;;netflix;very much;very much;enough;;tv series;thriller;action;comedy;single episode;yes;early evening;personalization;;prime video
260;21;male;single;Campania;upper secondary school diploma;student;si;13 to 24 months;3;standard;;si;;netflix;very;a little;a little;;movies;thriller;action;comedy;single episode;yes;late evening;streaming quality;;
261;22;male;single;Campania;upper secondary school diploma;student;si;13 to 24 months;3;premium;partner;si;;netflix;very;very;very;;tv series;action;comedy;drama;one-2 episodes;yes;late evening;navigation;;disney plus
262;21;female;single;Lazio;upper secondary school diploma;student;si;over 24 months ;3;standard;;no;prime video ;prime video;very;very;enough;;tv series;other;action;comedy;one-2 episodes;yes;late evening;contents;;prime video
263;22;male;single;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;yes;movies;action;comedy;drama;one-2 episodes;no;;;no need;
264;22;male;single;Campania;bachelor's degree;student;si;over 24 months ;1;premium;friends;si;;netflix;very much;very much;enough;;tv series;fantasy;thriller;action;one-2 episodes;yes;early morning;contents;;
265;18;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;2;premium;family;si;;netflix;very much;very much;very much;;tv series;horror;romantic;comedy;one-2 episodes;yes;early evening;nothing;;
266;44;female;single;Puglia;upper secondary school diploma;employed;no;;;;;;;;;;;no;documentaries;comedy;drama;action;single episode;no;;;no need;
267;19;male;single;Campania;upper secondary school diploma;student;si;over 24 months ;4;standard;;si;;netflix;very much;enough;enough;;tv series;comedy;drama;fantasy;one-2 episodes;no;late evening;personalization;;
268;23;female;single;Sicilia;upper secondary school diploma;employed;si;over 24 months ;5;standard;partner;si;;netflix;very much;very much;very much;;tv series;horror;romantic;thriller;one-2 episodes;no;early evening;contents;;
269;22;male;single;Campania;bachelor's degree;job seeker;si;0 to 6 months;2;basic with ads;;no;dazn;dazn;very much;enough;not at all;;movies;fantasy;action;thriller;3-4 episodes;yes;late evening;contents;;
270;29;female;single;Campania;master's degree;job seeker;no;;;;;;;;;;;don't know;tv series;thriller;horror;romantic;one-2 episodes;yes;;;other platforms;prime video
271;31;female;single;Lombardia;bachelor's degree;employed;no;;;;;;;;;;;don't know;movies;thriller;drama;comedy;one-2 episodes;no;;;no need;
272;20;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;3;premium;partner;no;disney plus;disney plus;very;very;enough;;tv series;drama;comedy;thriller;3-4 episodes;yes;late evening;contents;;
273;21;male;single;Campania;upper secondary school diploma;student;si;13 to 24 months;2;premium;;si;;netflix;very much;very much;very;;tv series;action;thriller;fantasy;3-4 episodes;yes;late afternoon;contents;;prime video
274;20;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;2;premium;partner;si;;netflix;very much;very much;very;;tv series;comedy;drama;romantic;3-4 episodes;yes;early afternoon;streaming quality;;
275;21;male;single;Campania;upper secondary school diploma;student;si;over 24 months ;3;standard;;si;;netflix;very much;very;very much;;movies;action;comedy;thriller;5-6 episodes;yes;late evening;contents;;
276;21;female;married;Campania;bachelor's degree;student;si;over 24 months ;4;premium;;si;;netflix;very much;very much;very;;tv series;thriller;horror;romantic;7 or more;yes;late evening;contents;;
277;30;female;single;Piemonte;upper secondary school diploma;employed;si;over 24 months ;3;premium;partner;no;disney plus;disney plus;very much;very;enough;;tv series;comedy;action;drama;one-2 episodes;yes;late evening;contents;;
278;21;female;single;Campania;upper secondary school diploma;student;no;;;;;;;;;;;don't know;movies;thriller;drama;action;3-4 episodes;yes;;;other platforms;
279;25;female;single;Campania;upper secondary school diploma;employed;si;over 24 months ;4;standard;family;si;;netflix;very;enough;enough;;tv series;drama;fantasy;action;3-4 episodes;yes;late evening;contents;;
280;21;male;single;Campania;bachelor's degree;student;si;over 24 months ;7;premium;;si;;netflix;very much;very much;very much;;tv series;thriller;action;comedy;one-2 episodes;no;late evening;contents;;
281;33;female;cohabiting;Piemonte;bachelor's degree;employed;si;over 24 months ;7;standard;partner;si;;netflix;very much;very much;very;;tv series;fantasy;romantic;action;3-4 episodes;yes;late evening;nothing;;
282;21;female;single;Campania;upper secondary school diploma;student;si;13 to 24 months;2;premium;family;si;;netflix;very much;enough;enough;;movies;drama;comedy;fantasy;3-4 episodes;yes;early afternoon;contents;;prime video
283;22;male;single;Campania;upper secondary school diploma;student;si;over 24 months ;5;standard;;si;;netflix;very;very;a little;;tv series;thriller;action;fantasy;3-4 episodes;yes;early afternoon;contents;;
284;18;female;single;Campania;lower secondary school diploma;student;si;over 24 months ;2;standard;;si;;netflix;very much;very;a little;;tv series;fantasy;action;romantic;3-4 episodes;yes;late afternoon;contents;;
285;22;male;single;Campania;upper secondary school diploma;student;si;0 to 6 months;2;premium;partner;si;;netflix;very;very;enough;;tv series;action;horror;romantic;one-2 episodes;no;night;loading speed;;
286;18;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;3;standard;family;si;;netflix;enough;very;very much;;tv series;comedy;romantic;action;one-2 episodes;yes;late evening;contents;;
287;26;female;cohabiting;Lombardia;master's degree;student;si;13 to 24 months;4;premium;partner;si;;netflix;very much;very much;very;;tv series;thriller;romantic;comedy;3-4 episodes;no;early afternoon;contents;;
288;23;male;single;Campania;bachelor's degree;student;si;13 to 24 months;2;premium;;no;;;very;very;a little;;tv series;action;horror;comedy;one-2 episodes;no;early afternoon;contents;;
289;27;female;single;Campania;upper secondary school diploma;unemployed;si;over 24 months ;2;premium;;si;;netflix;very much;very;enough;;tv series;comedy;fantasy;thriller;5-6 episodes;yes;late evening;personalization;;prime video
290;27;female;single;Campania;upper secondary school diploma;unemployed;si;over 24 months ;2;premium;;si;;netflix;very much;very;enough;;tv series;comedy;fantasy;thriller;5-6 episodes;yes;late evening;personalization;;prime video
291;19;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;2;premium;;no;prime video ;prime video;very much;enough;enough;;movies;drama;fantasy;comedy;one-2 episodes;yes;early evening;contents;;
292;21;male;single;Campania;upper secondary school diploma;job seeker;no;;;;;;;;;;;no;movies;action;comedy;drama;5-6 episodes;yes;;;other platforms;
293;21;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;3;premium;;si;;netflix;very much;enough;very;;tv series;drama;comedy;action;single episode;yes;late evening;contents;;disney plus
294;31;male;cohabiting;Piemonte;upper secondary school diploma;employed;si;over 24 months ;5;premium;partner;si;;netflix;very much;very;very;;tv series;action;comedy;romantic;one-2 episodes;yes;late evening;nothing;;
295;21;male;single;Campania;upper secondary school diploma;job seeker;si;over 24 months ;3;premium;partner;no;disney plus;disney plus;very much;very much;very much;;movies;comedy;action;fantasy;3-4 episodes;yes;late afternoon;nothing;;
296;19;male;single;Campania;upper secondary school diploma;student;si;over 24 months ;3;premium;;no;;;very much;enough;enough;;tv series;thriller;action;romantic;3-4 episodes;yes;late evening;contents;;
297;21;male;single;Campania;upper secondary school diploma;student;si;over 24 months ;6;premium;;si;;netflix;very much;very much;very;;tv series;drama;fantasy;comedy;one-2 episodes;yes;late evening;contents;;
298;21;female;single;Campania;bachelor's degree;student;si;0 to 6 months;3;basic with ads;;si;;netflix;very much;enough;enough;;tv series;thriller;drama;romantic;one-2 episodes;yes;late evening;contents;;prime video
299;23;female;single;Campania;upper secondary school diploma;student;si;7 to 12 months ;7;standard;;si;;netflix;very much;enough;enough;;tv series;romantic;drama;thriller;one-2 episodes;yes;late evening;contents;;prime video
300;36;male;cohabiting;Piemonte;upper secondary school diploma;employed;si;over 24 months ;3;premium;partner;si;;netflix;very much;very much;very;;tv series;fantasy;action;thriller;one-2 episodes;yes;early evening;nothing;;
301;45;male;separated;Campania;upper secondary school diploma;employed;no;;;;;;;;;;;no;movies;action;fantasy;comedy;one-2 episodes;yes;;;no need;
302;21;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;5;premium;;si;;netflix;very much;very much;enough;;tv series;romantic;comedy;thriller;3-4 episodes;no;late evening;personalization;;
303;21;female;single;Campania;master's degree;student;si;over 24 months ;5;standard;family;si;;netflix;very much;enough;enough;;tv series;fantasy;romantic;drama;3-4 episodes;yes;late afternoon;contents;;
304;20;female;single;Campania;upper secondary school diploma;student;no;;;;;;;;;;;don't know;movies;fantasy;romantic;comedy;one-2 episodes;no;;;lack of interest;
305;23;male;single;Campania;upper secondary school diploma;employed;si;over 24 months ;0;standard;;no;;;very much;very;enough;;movies;drama;action;romantic;5-6 episodes;yes;late evening;contents;;
306;20;female;single;Campania;upper secondary school diploma;student;si;13 to 24 months;3;premium;;no;other ;;very much;enough;enough;;movies;comedy;other;drama;one-2 episodes;no;late evening;nothing;;
307;22;female;single;Campania;upper secondary school diploma;student;no;;;;;;;;;;;don't know;tv series;horror;thriller;comedy;3-4 episodes;yes;;;price;
308;18;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;7;premium;;si;;netflix;very much;very much;very;;movies;horror;romantic;comedy;3-4 episodes;no;late afternoon;contents;;
309;22;male;single;Campania;bachelor's degree;student;si;over 24 months ;5;premium;;si;;netflix;very much;very;very;;tv series;thriller;fantasy;romantic;one-2 episodes;yes;early afternoon;contents;;
310;18;male;single;Lazio;no degree;student;si;0 to 6 months;7;premium;;si;;netflix;very much;very;very;;tv series;thriller;action;comedy;one-2 episodes;yes;late afternoon;nothing;;
311;23;male;single;Campania;bachelor's degree;student;si;7 to 12 months ;3;basic with ads;;no;prime video ;prime video;very much;very;enough;;movies;thriller;drama;action;one-2 episodes;yes;night;more contents;;prime video
312;21;female;single;Campania;bachelor's degree;student;si;over 24 months ;2;premium;family;si;;netflix;very much;very;very;;tv series;action;romantic;thriller;single episode;no;early evening;contents;;
313;21;female;single;Campania;bachelor's degree;student;si;over 24 months ;3;premium;;si;;netflix;very much;very much;very;;tv series;comedy;horror;romantic;3-4 episodes;yes;late evening;contents;;
314;24;male;single;Campania;master's degree;employed;si;over 24 months ;4;premium;partner;no;apple tv;apple tv;very much;enough;a little;;tv series;action;drama;fantasy;one-2 episodes;yes;late evening;contents;;
315;46;female;single;Campania;master's degree;homemaker;si;7 to 12 months ;3;premium;;no;;;very much;very much;very much;;movies;comedy;other;drama;3-4 episodes;yes;early evening;nothing;;prime video
316;23;female;single;Campania;bachelor's degree;student;si;over 24 months ;3;standard;;no;disney plus;disney plus;enough;enough;enough;;movies;thriller;fantasy;drama;one-2 episodes;yes;late afternoon;contents;;
317;24;male;single;Campania;bachelor's degree;student;si;over 24 months ;1;premium;;no;prime video ;prime video;very;enough;not at all;;movies;thriller;action;comedy;one-2 episodes;yes;late afternoon;contents;;
318;23;female;single;Campania;upper secondary school diploma;student;si;over 24 months ;2;premium;;si;;netflix;very much;very;very;;movies;romantic;drama;comedy;3-4 episodes;no;late evening;contents;;
319;24;male;single;Campania;upper secondary school diploma;job seeker;no;;;;;;;;;;;don't know;other;action;comedy;drama;one-2 episodes;yes;;;price;
320;19;male;single;Lazio;upper secondary school diploma;student;si;over 24 months ;1;premium;;no;;;very much;enough;a little;;tv series;action;comedy;romantic;3-4 episodes;yes;late evening;contents;;
321;23;female;single;Campania;bachelor's degree;student;si;13 to 24 months;3;standard;;si;;netflix;very much;very;very;;tv series;drama;comedy;romantic;5-6 episodes;no;late morning;contents;;
322;21;male;single;Campania;upper secondary school diploma;student;si;over 24 months ;2;premium;;si;;netflix;very much;very;very;;movies;comedy;action;thriller;one-2 episodes;yes;early afternoon;nothing;;prime video
323;27;female;cohabiting;Campania;bachelor's degree;student;si;over 24 months ;3;premium;partner;no;prime video ;prime video;very much;very;not at all;;tv series;fantasy;thriller;horror;3-4 episodes;yes;late evening;contents;;prime video
324;23;male;single;Campania;upper secondary school diploma;student;no;;;;;;;;;;;don't know;movies;action;comedy;drama;one-2 episodes;yes;;;lack of interest;
